country,agricultural_land_percent,forest_land_percent,trade_in_services_percent,control_of_corruption_estimate,access_to_electricity_percent,renewvable_energy_consumption_percent,co2_emisions,inflation_annual_percent,goverment_effectiveness_estimate,doing_business,individuals_using_internet_percent,gdp_current_us,political_stability_estimate,rule_of_law_estimate,government_expenditure_on_education_percent,government_health_expenditure_percent,life_expectancy_at_birth,population,voice_and_accountability_estimate,intentional_homicides,income_group,continent
Marshall Islands,38.8888888888889,52.22222222222219,37.1066542590981,0.5692004442214966,94.10281677246094,11.994,149.1,,-0.207687333226204,153.0,29.257127926666666,209568248.5107422,1.0092456698417673,0.20597620925400398,13.393609364827498,6.7586683260000004,64.28,47128.6,1.1537685632705699,,Upper_middle,Asia
Mauritania,38.5272145144077,0.3193635393421948,13.0829483783384,-0.8308075308799742,42.43654373168946,27.310000000000002,3299.9800000000005,2.46963328775748,-0.8316455960273743,152.0,28.664136548,6946812566.000758,-0.6418446063995361,-0.7145575046539305,2.1860253413518267,1.288079832,65.0666,4162537.2,-0.8265428662300109,1.167969680390345,Lower_middle,Africa
Mauritius,43.064596895343,19.29494241362044,37.67967564333552,0.1768360599875452,99.73261248779298,9.873999999999999,4095.6799999999994,1.9105861781671738,0.9724490761756897,13.0,55.612001914,13497399110.25576,0.9223039269447328,0.7210667490959168,4.7471680641174325,2.58934455,74.3829756097561,1264615.0,0.7852778315544129,2.146976766508044,Upper_middle,Africa
Mexico,50.061575657810124,33.9902672393837,7.053951390187519,-0.9113070368766788,99.52000000000001,9.766,463850.57999999996,4.023823462428532,-0.10383590385317823,60.0,59.25899073400001,1215552420766.158,-0.7518362998962402,-0.5842359840869904,4.72716999053955,2.788532592,74.2898,122721509.6,-0.0460788123309612,24.49896727855808,Upper_middle,South America
Micronesia,7.142857142857141,91.90000000000002,,0.708224356174469,76.53648071289061,1.8559999999999999,146.94,0.5337843555274601,0.09405412226915372,158.0,35.0021384275,366670840.0,1.1129443645477282,-0.02309100236743685,11.899724769592282,3.222188902,71.373,110425.0,1.13977828025818,0.897839349605175,Lower_middle,Asia
Moldova,69.77144721080806,11.75274242737426,23.36709468568164,-0.8255603671073912,99.953765625,24.778,8341.02,6.097723354722374,-0.5758881151676176,48.0,49.552097222,9657939848.959526,-0.34721413254737843,-0.44039689302444457,5.790517330169678,3.7296528799999997,70.22,2753156.0,-0.0414723828434944,5.1152406913111905,Upper_middle,Europe
Mongolia,72.88447737578686,9.10326334091079,26.32720875613478,-0.4814054429531094,93.88395874023438,3.342,19948.3,4.979140707336693,-0.2605997979640959,81.0,33.338007152,12333308943.76006,0.7501079559326174,-0.2937604755163194,4.311122035980226,2.412401152,70.5242,3097351.0,0.2927566409111022,6.399505840039334,Upper_middle,Asia
Montenegro,18.69442379182158,61.486988847583596,45.81105234990224,-0.06671552378684278,99.8110366821289,40.792,2375.6400000000003,1.3260660073099504,0.13436865359544756,50.0,70.853506326,4867451311.236558,0.08767715618014324,-0.05842521367594607,,5.0406476,76.58,622218.0,0.08605816252529604,3.068089539019746,Upper_middle,Europe
Morocco,68.16323656733138,12.79397266412726,22.01005134490142,-0.26026011109352104,98.55999999999999,10.84,63787.94,1.2110368508132403,-0.2492794841527938,53.0,65.207535204,119357751641.12581,-0.3468976676464084,-0.24369699656963356,4.9835608482360865,2.157801724,73.624,35509551.2,-0.6451190948486328,1.644657207640206,Lower_middle,Asia
Mozambique,52.332656985172534,47.601711132022686,27.29420060237676,-0.8415374040603638,27.061007766723623,79.29400000000001,6857.94,8.55920927249077,-0.9161118626594543,138.0,9.3669758576,14414559115.549438,-0.8261088848114012,-1.0150439262390143,5.824003601074218,1.789625954,59.730399999999996,28563730.6,-0.4263885617256166,,Low,Africa
Myanmar,19.79571568034092,45.0564594731708,11.223651808459595,-0.6688737869262694,64.06545480729473,63.668000000000006,28034.26,7.330585866254213,-1.1332109689712522,165.0,21.971289464,66377305797.317505,-1.1312588334083564,-1.0482110023498528,2.205476522445678,0.827067328,66.0328,52274173.0,-0.9275666356086738,2.6784615637784563,Lower_middle,Asia
Namibia,47.14086166478396,8.322620218877919,11.250969771878188,0.289520925283432,51.88004776000976,29.964,4221.780000000001,4.856476547751262,0.18443709462881094,104.0,35.677083806,12235255981.174961,0.6520902276039122,0.33283611536026003,9.699791526794433,4.102430344,62.0672,2364582.8,0.5381454050540924,16.41238321167065,Lower_middle,Africa
Nauru,20.0,0.0,55.96669930678957,0.5393657565116883,99.68339538574217,0.43200000000000005,54.120000000000005,,0.004613177618011921,,68.561521725,109583340.8668778,0.9731578469276425,-0.28217031583189967,6.457233333587647,9.51873474,62.9354,11672.0,0.502877551317215,,High,Asia
Nepal,28.747820020927797,41.5907220090687,10.582931202070098,-0.7171700239181519,88.63177709960938,78.424,12037.42,5.983239449656276,-1.0040363192558284,94.0,25.1974272,29030841116.1586,-0.6847761392593383,-0.6486066520214084,3.490075206756594,1.030493426,68.7358,28198829.0,-0.2292149811983108,2.170437914030618,Lower_middle,Asia
Netherlands,54.17166617166616,10.890941490941481,42.218233269906605,1.83880054950714,100.0,6.7620000000000005,153781.54739999998,1.3271141155916577,1.808070540428164,42.0,92.102571646,841548125661.9496,0.8751828432083132,1.7983410835266098,5.304073905944824,6.666051482,81.75121951219512,17135606.2,1.51603343486786,0.6265188869849301,High,Europe
New Zealand,40.11469370703732,37.41968022483006,15.42494956475162,2.1862200260162377,100.0,28.933999999999997,32562.3,1.2015323053946851,1.7298819541931139,1.0,87.652744006,199687549317.6076,1.500464677810668,1.888038420677184,5.367791080474854,6.896708584,81.77858536585367,4803380.0,1.557500696182252,1.4011034296547322,High,Asia
Nicaragua,42.20541798238328,30.808791756689402,17.9977022028331,-0.9511384129524225,84.53882293701172,50.122,5256.6,4.338950398983217,-0.7717493653297426,142.0,31.438496294000004,13110595026.3011,-0.43698289766907694,-0.8709902048110962,4.318195152282716,4.88440533,73.5394,6480904.4,-0.8020348489284516,8.033044440397793,Lower_middle,South America
Niger,36.61087866108784,0.8817873213862792,10.724065395151133,-0.6382869124412536,17.44157012939452,80.77000000000001,2044.8580000000002,0.870396610418744,-0.7677196145057679,132.0,8.40879793625,11398939443.612665,-1.236632466316224,-0.629568612575531,3.4013614654541016,1.576362778,62.0446,21761648.0,-0.4472305566072464,,Low,Africa
Nigeria,74.70623757919124,24.2836825762816,6.46314847419855,-1.087862849235536,55.620000000000005,81.79400000000001,112044.46,12.940008537598597,-1.0978317737579355,131.0,33.986274684,433935656341.64197,-1.964559268951416,-0.9531337618827829,,0.5128125920000001,52.330600000000004,193570147.6,-0.3780372619628906,27.67249097159305,Lower_middle,Africa
North Korea,21.66763557844034,50.608587326634,,-1.486530399322508,44.18326110839844,16.612000000000002,42636.979999999996,,-1.6151421070098881,,,,-0.5926914393901817,-1.671898794174194,,,72.9592,25511507.4,-2.200537204742432,,Low,Asia
North Macedonia,50.134813639968264,39.655352894528164,25.700724435621037,-0.3480642199516296,99.93274169921874,20.44,7289.539999999999,0.6074320383978689,-0.02951145209372048,17.0,75.526895936,11466692133.66088,-0.2221353841945529,-0.30037679672241197,,3.9903090500000005,76.00146341463417,2074025.8,-0.12019443437457075,1.1744517988655934,Upper_middle,Europe
Norway,2.697836989782624,33.29368987113,22.94714227139988,2.124844360351562,100.0,59.102,39055.04,2.505759725552538,1.8568293809890761,9.0,96.991558608,401878560338.546,1.1481127500534059,1.962749791145324,7.762794017791748,8.821936798,82.6078048780488,5271981.2,1.681771922111512,0.5005401835217704,High,Europe
Oman,4.680588045234248,0.0087883683360258,18.183156658086098,0.27859626710414875,100.0,0.006,73014.45999999999,0.7573511911866919,0.1284575171768666,68.0,81.264093344,82852587776.33292,0.7016669273376464,0.4207149028778076,,3.91565175,77.899,4467125.0,-1.074233388900756,0.3804058277644338,High,Asia
Pakistan,47.54955375674554,4.988216064757159,4.982752033759042,-0.8437030673027038,92.55365875244141,44.182,182993.25999999998,5.207248015115768,-0.6859172344207762,108.0,13.915269696000001,325967353000.3796,-2.369637966156004,-0.7395649790763856,2.350195121765136,0.8339059859999999,66.2224,216779710.4,-0.7583134412765502,3.9384465762644196,Lower_middle,Asia
Palau,9.34782608695652,89.48260869565217,64.46625532769322,0.5393657565116883,99.90040130615235,0.5900000000000001,210.21999999999997,0.7403615653420321,0.20564849078655262,145.0,,286974871.25,1.0497239112853998,0.9184271574020396,,5.989989184000001,,17845.4,1.162644815444946,7.013750775278551,High,Asia
Panama,29.712521590617598,57.29510424243358,28.83171752551622,-0.5750108122825625,93.07182586669923,22.19,10883.48,0.4316428385684322,0.11453806720674038,86.0,58.118000396,62243631340.0,0.3402783155441286,-0.0903061860240995,3.01799364089966,4.561411476,77.7178,4095457.0,0.5518657207489012,10.431559644429953,High,South America
Papua New Guinea,3.031400432804842,79.39882564147861,9.509023394415205,-0.9357731461524963,18.26837219238282,54.048,6803.280000000001,5.278978879799262,-0.6895149707794188,120.0,12.1722515005,22817172143.92902,-0.5946309983730315,-0.8072523951530457,1.919880032539365,1.5417386279999998,65.06,9113570.4,0.09877376481890679,,Lower_middle,Asia
Paraguay,42.29131638560282,42.69563050591492,10.410128355871116,-0.8590913653373715,99.26630639999999,60.489999999999995,7588.539999999999,3.5102020794071565,-0.7686503410339357,125.0,59.54147196,37889812841.27612,0.0123932905029506,-0.6350308060646055,3.329081010818482,3.136309146,73.5116,6354664.6,-0.0183619610965252,9.074496533974147,Upper_middle,South America
Peru,19.19277984375,56.909192187500004,7.371576789615304,-0.5403541505336762,94.7207078446364,27.45,55450.04,2.742289036989598,-0.255434376001358,76.0,50.353918324,208726379138.4594,-0.2621932864189148,-0.5211288928985593,3.8500319957733162,3.12733221,75.8908,31695786.6,0.25033891499042504,7.577285030949151,Upper_middle,South America
Philippines,42.205453264916,23.75801053090516,18.07219725662716,-0.537700092792511,92.7086040649414,28.256,130066.62,2.496498204813162,0.05300210043787949,95.0,40.965322374,335443781977.2946,-1.089388573169708,-0.4971797704696653,3.5487481117248523,1.5306289679999998,71.545,106718954.4,0.0843221493996679,6.975859728236758,Lower_middle,Asia
Poland,47.19079229787536,30.85345248419508,17.95721855144556,0.6774542212486268,100.0,13.002,301670.58,0.9154945411977117,0.6007903337478637,40.0,75.052139726,531323075599.0292,0.5798407793045046,0.5127837240695954,4.666928005218508,4.509053706,77.71268292682927,37974310.0,0.8083953261375416,0.7116977279365682,High,Europe
Portugal,40.64923934781282,36.154994891142,22.91293127836724,0.8250597953796388,100.0,27.258,49169.14,0.7591687816991037,1.1834899902343738,39.0,72.570997722,221895626554.034,1.0271469116210914,1.0920253515243519,4.795447254180909,5.751596642,81.3346341463415,10310782.6,1.1715512752532962,0.7674863927860254,High,Europe
Qatar,6.30113141862489,0.0,29.639912219565097,0.7856359481811523,100.0,0.05800000000000001,87267.26,0.8949444224611531,0.7464176535606384,77.0,96.940798226,166855496235.6186,0.7698525190353395,0.7233449339866638,2.88561999797821,2.8366391660000003,80.62039999999999,2659092.2,-1.197248220443726,0.3813378371345368,High,Asia
Republic of the Congo,31.125036603221098,64.3900439238653,23.133630819813167,-1.3358632802963242,46.11827468872072,68.402,5956.46,2.0337151219204093,-1.156269383430482,180.0,8.129307995,12790190244.53958,-0.4467811703681946,-1.138421869277956,3.899712991714478,1.017163588,63.474000000000004,5315069.0,-1.154687809944154,,Lower_middle,Africa
Romania,59.107267037552184,30.091411682892918,18.65739133801164,-0.190486866235733,99.53680297851562,23.598000000000003,73648.14,1.5306813725563793,-0.08904120326042167,55.0,64.670628556,213530500977.6198,0.21510462686419501,0.3754239052534104,3.2273760318756097,4.169425534,75.27951219512195,19590443.2,0.5348194301128387,1.413582606467164,High,Europe
Russia,13.1584362579663,49.77735415863958,9.699697395619925,-0.8833839416503905,98.93763885498048,3.242,1624643.1400000001,6.721769194118274,-0.1848350942134856,29.0,76.541139624,1512982333867.496,-0.7424292087554928,-0.82148220539093,4.094381046295168,3.16395173,72.20643902439024,144364025.2,-1.099381160736084,9.49561818678491,High,Europe
Rwanda,80.01621402513175,11.05796513984596,20.579221565979218,0.5760059595108032,34.16536657714844,84.178,1267.688,4.203809794867681,0.04378173872828485,38.0,16.971602014,9295221321.73402,0.0345706284511834,0.08508597910404199,3.303806114196778,2.282690288,65.9328,12234206.6,-1.129826712608336,3.0133761027938517,Low,Africa
Saint Kitts and Nevis,23.0769230769231,42.3076923076923,70.23595323470158,0.42498804926872236,100.0,1.44,243.58,-0.7321360494232244,0.38028129041194897,139.0,78.2530931525,1041227407.4074093,0.6356184720993043,0.4799562573432922,2.995430994033814,2.194814538,71.4764,47767.2,0.9057387351989746,46.05432329670233,High,South America
Saint Lucia,16.2950819672131,34.0491803278688,68.22612136115468,0.5921016216278077,99.73850708007812,10.629999999999999,520.02,-0.2965700079620096,0.2292421646416188,93.0,66.776770026,1965799392.5925941,0.9421388506889341,0.615056884288788,3.8678706645965564,2.005234694,73.2358,177134.0,0.9541553854942322,21.43293471811242,Upper_middle,South America
Saint Vincent and the Grenadines,17.9487179487179,73.1794871794872,46.65456281583966,0.7088801980018615,99.83160552978515,4.8,242.84,0.7014594940472623,0.3138352066278458,130.0,56.91366861,847998518.5185187,0.923628568649292,0.47532922625541696,5.2530405521392805,2.692461492,73.991,105639.8,0.9243174672126772,31.275538196570402,Upper_middle,South America
